,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,land_surface,livable_surface,energy_consumption,number_of_bedrooms,number_of_bathrooms,elevator,garden,terrace,furnished,availability,province,street,street_number,garage,balcony
vbe35764,4.3620476,50.8216247,Rent,1850,Appartment,Flat,43157,1050,2019.0,Normal,,91.0,11350.0,2.0,2.0,True,,4.0,False,,Brussels,Rue de Tenbosch,83.0,,
vbe35669,4.40678732,50.82299765,Rent,1250,Appartment,Flat,27443,1160,,Fully renovated,,88.0,,2.0,1.0,False,,9.0,False,,Brussels,Avenue du Paepedelle,52.0,,
vbe35736,4.3851351,50.8156501,Rent,690,Appartment,FlatStudio,48204,1050,,Excellent,,23.0,16952.0,0.0,1.0,True,,,False,Immediately,Brussels,Square des Latins,49.0,,
vbe35666,4.3155448,50.8622507,Rent,1335,Appartment,Flat,28427,1081,,,,105.0,,2.0,,,,2.0,,,Brussels,Bd Louis Mettewie,5.0,,
vbe35765,4.3333333,50.8,Rent,4000,House,House,43157,1180,1930.0,Normal,215.0,261.0,21593.0,5.0,3.0,False,100.0,15.0,False,,Brussels,,,1.0,
vbe35707,4.363732,50.82373,Rent,1300,Appartment,Flat,38513,1050,1935.0,Normal,,65.0,,1.0,1.0,False,,,False,From 01/10/2026,Brussels,Rue du Magistrat,52.0,,
vbe35527,4.3777021,50.8428758,Rent,1590,Appartment,Flat,43157,1040,2019.0,Normal,,58.0,3239.0,1.0,1.0,True,,5.0,True,,Brussels,Rue Jacques de Lalaing,40.0,,
vbe35605,4.4075968,50.805344,Rent,2950,House,House,40380,1170,,,235.0,,,4.0,,,,,,,Brussels,Rue Th?ophile vander Elst,150.0,,
vbe35557,4.3560881,50.8503599,Rent,1230,Appartment,Flat,44165,1000,,Excellent,,70.0,,1.0,1.0,True,,,False,Immediately,Brussels,Rue du Fossé aux Loups,48.0,,False
vbe35647,4.374252,50.8313578,Rent,1000,Appartment,Flat,27497,1050,1900.0,Normal,,50.0,,1.0,1.0,False,,,False,On contract,Brussels,Rue Marie-Henriette,1.0,,
vbe35577,4.3333333,50.8,Rent,1150,Appartment,Flat,39905,1180,1977.0,Excellent,,65.0,21604.0,1.0,1.0,True,,,False,,Brussels,,,,
vbe35529,4.326965,50.8200628,Rent,1155,Appartment,Flat,43157,1190,1950.0,Normal,,60.0,148.0,2.0,1.0,False,,,False,,Brussels,Rue des Allies,188.0,,
vbe35550,4.3795267,50.8290861,Rent,1150,Appartment,Penthouse,37194,1050,,Normal,,65.0,,1.0,1.0,False,,,False,Immediately,Brussels,Avenue de la Couronne,87.0,,
rbw24544,4.3515499,50.8427501,Rent,4250,House,House,48985,1000,1920.0,Excellent,100.0,347.0,,4.0,,,80.0,,,From 05/07/2026,Brussels,,,,
vbe35578,4.3766927,50.8235717,Rent,3400,Appartment,Flat,39905,1050,1930.0,Excellent,,258.0,77970.0,3.0,2.0,True,,20.0,False,,Brussels,,,,
rbw24558,4.3406349,50.8485576,Rent,1395,Appartment,Penthouse,33802,1000,,Normal,,96.0,,1.0,1.0,True,,50.0,,Immediately,Brussels,Zennestraat,17.0,,
vbe35665,4.423892,50.842365,Rent,1600,Appartment,Flat,38566,1200,1992.0,Excellent,,130.0,26955.0,3.0,2.0,True,,,False,Immediately,Brussels,,,,
vbe35579,4.3766927,50.8235717,Rent,1800,Appartment,Penthouse,39905,1050,1980.0,Excellent,,85.0,21530.0,2.0,1.0,True,,16.0,False,,Brussels,,,,
vbe35611,4.35872,50.81571,Rent,6900,House,House,43065,1180,,Excellent,,577.0,,3.0,2.0,,,,,From 30/06/2026,Brussels,Avenue Molière,270.0,1.0,
vbe35658,4.3402184,50.8301436,Rent,1735,Appartment,Flat,46605,1060,1971.0,Excellent,,110.0,,2.0,2.0,True,,10.0,False,,Brussels,,,,
rbw24542,4.414715,50.800919,Rent,2800,House,House,48985,1170,,Normal,,228.0,,4.0,,,,,,On contract,Brussels,,,1.0,
vbe35648,4.3518129,50.8322678,Rent,1600,Appartment,Flat,27497,1060,1930.0,Excellent,,90.0,,2.0,2.0,,,,True,,Brussels,Rue Berckmans,107.0,,
vbe35607,4.3979568,50.8485226,Rent,1100,Appartment,Flat,40959,1030,1934.0,,,82.0,,1.0,1.0,True,,5.0,True,,Brussels,RUE VICTOR HUGO,192.0,,
vbe35531,4.4282401,50.8527706,Rent,1500,Appartment,Flat,43157,1200,2017.0,New,,97.0,6330.0,2.0,1.0,True,,8.0,False,,Brussels,Allée Christian de Duve,,1.0,
rbw24541,4.414715,50.800919,Rent,2950,House,House,48985,1170,,Normal,,197.0,,4.0,1.0,,,,,From 30/06/2026,Brussels,,,,
vbe35649,4.3881294,50.8148234,Rent,2050,Appartment,Flat,47577,1050,2026.0,Fully renovated,,110.0,,3.0,2.0,False,,9.0,False,Immediately,Brussels,Avenue General medecin Derache,92.0,,True
vbe35511,4.3496836,50.8467351,Rent,2800,Appartment,Penthouse,40457,1000,,Normal,,120.0,13737.0,2.0,2.0,True,,,True,Immediately,Brussels,Impasse Madrille,1.0,,
vbe35438,4.355019,50.8528167,Rent,1150,Appartment,Flat,38513,1000,,Normal,,70.0,,1.0,1.0,True,,,False,From 01/08/2026,Brussels,Boulevard Adolphe Max,45.0,,
vbe35470,4.384113,50.82248,Rent,2200,Appartment,Flat,38513,1050,,Normal,,184.0,,3.0,2.0,True,,,False,From 01/08/2026,Brussels,Rue Fritz Toussaint,51.0,,
vbe35460,4.3515499,50.8427501,Rent,2650,Appartment,Flat,37194,1000,,Normal,,161.0,,2.0,1.0,True,,,False,,Brussels,,,,
vbe35513,4.3679899,50.8315048,Rent,1040,Appartment,FlatStudio,40457,1050,2019.0,Excellent,,45.0,17.0,0.0,1.0,True,,5.0,False,,Brussels,Chaussée d'Ixelles,227.0,,
rbw23945,4.3856383,50.8602296,Rent,3250,House,House,49242,1030,,Excellent,198.0,280.0,,5.0,3.0,False,105.0,15.0,False,,Brussels,Avenue des Azalées,61.0,,
vbe35502,4.4011315,50.8295144,Rent,1380,Appartment,Flat,46535,1040,,Excellent,,70.0,,1.0,1.0,False,,,True,Immediately,Brussels,Rue de Tervaete,91.0,,
vbe35437,4.35502,50.85282,Rent,1150,Appartment,Flat,38513,1000,,Normal,,65.0,,1.0,1.0,True,,,False,From 01/08/2026,Brussels,Boulevard Adolphe Max,45.0,,
rbw23944,4.3881298,50.8374184,Rent,3100,House,House,49236,1040,1953.0,Excellent,150.0,237.0,208.0,4.0,1.0,False,80.0,10.0,False,Immediately,Brussels,Rue du Clocher,27.0,,
vbe35468,4.3836607,50.8284177,Rent,1500,Appartment,Flat,38611,1040,,,,120.0,26344.0,3.0,1.0,True,,4.0,False,,Brussels,Square de Leopoldville,17.0,,
vbe35525,4.4137529,50.8538123,Rent,2200,Appartment,Penthouse,43157,1140,2018.0,Excellent,,136.0,,3.0,2.0,True,,,False,,Brussels,Rue Colonel Bourg,111.0,,
vbe35508,4.3515499,50.8427501,Rent,1000,Appartment,Duplex,29033,1000,1930.0,Normal,,60.0,,1.0,1.0,False,,,False,,Brussels,,,,
vbe35459,4.3333333,50.8,Rent,1050,Appartment,Flat,37194,1180,,Normal,,56.0,,1.0,1.0,False,,,False,Immediately,Brussels,,,,
vbe35436,4.35464,50.85247,Rent,1300,Appartment,Flat,38513,1000,,Normal,,54.0,,1.0,,True,,,True,From 01/07/2026,Brussels,Rue Saint-Michel,16.0,,
rbw23943,4.4322337,50.8491193,Rent,1375,Appartment,GroundFloor,49236,1200,2026.0,Excellent,,67.0,150.0,1.0,1.0,False,,,False,Immediately,Brussels,Chaussée de Roodebeek,106.0,,
vbe35509,4.3515499,50.8427501,Rent,1130,Appartment,Flat,29033,1000,1930.0,Excellent,,55.0,,1.0,1.0,False,,15.0,,,Brussels,,,,
rbw23942,4.4322337,50.8491193,Rent,1950,Appartment,Duplex,49236,1200,2026.0,Excellent,,113.0,150.0,3.0,2.0,False,,,False,Immediately,Brussels,Chaussée de Roodebeek,106.0,,
vbe35510,4.3622943,50.8179433,Rent,1960,Appartment,Flat,40457,1050,,Normal,,134.0,12009.0,3.0,2.0,True,,2.0,False,Immediately,Brussels,Rue Jules Lejeune,1.0,1.0,
vbe35526,4.3981462,50.8278996,Rent,900,Appartment,FlatStudio,43157,1040,2006.0,Normal,,50.0,,0.0,1.0,True,,,False,Immediately,Brussels,Rue Léon Defosset,5.0,,
vbe35461,4.3766927,50.8235717,Rent,880,Appartment,FlatStudio,37194,1050,,Normal,,30.0,,0.0,1.0,True,,3.0,True,,Brussels,,,,
vbe35408,4.3402184,50.8301436,Rent,935,Appartment,Flat,39265,1060,,Excellent,,75.0,,1.0,1.0,True,,,,,Brussels,,,,
vbe35322,4.4291669,50.8490159,Rent,750,Appartment,FlatStudio,38611,1200,,Normal,,23.0,5772.0,1.0,,True,,,True,Immediately,Brussels,Chemin des Deux Maisons,8.0,,
vbe35349,4.3954899,50.8272953,Rent,1500,Appartment,Flat,39656,1040,,Normal,,106.0,,2.0,1.0,True,,,True,,Brussels,Chaussée de Wavre,902.0,,
vbe35333,4.351673,50.8524584,Rent,1900,Appartment,Flat,44165,1000,2007.0,Normal,,148.0,,3.0,1.0,True,,,False,,Brussels,Rue des Hirondelles,15.0,,
vbe35382,4.336441,50.8703247,Rent,890,Appartment,Flat,46605,1090,,Normal,,51.0,8231.0,1.0,1.0,True,,6.0,False,Immediately,Brussels,Rue Uyttenhove,33.0,,
vbe35302,4.37328,50.84785,Rent,2300,Appartment,Flat,40044,1000,,,,250.0,,3.0,1.0,True,,90.0,False,From 01/10/2026,Brussels,rue des deux églises,80.0,,
vbe35334,4.45960941,50.83006355,Rent,2250,Appartment,Flat,46469,1150,2005.0,,,154.0,,3.0,2.0,True,,19.0,False,Immediately,Brussels,Drève des Shetlands,12.0,,
vbe35318,4.3477447,50.8509268,Rent,1290,Appartment,Flat,37194,1000,,Excellent,,70.0,,1.0,1.0,False,,6.0,False,,Brussels,Place Sainte Catherine,9.0,,
vbe35303,4.3227894,50.8808582,Rent,2390,Appartment,Flat,40044,1090,,,,154.0,,3.0,2.0,True,,22.0,True,From 18/06/2026,Brussels,,,,
vbe35421,4.4007034,50.8306218,Rent,1300,Appartment,Flat,43157,1040,,Excellent,,65.0,,2.0,1.0,False,,,False,Immediately,Brussels,Rue de Tervaete,48.0,,
vbe35399,4.3381098,50.8046883,Rent,2750,House,House,46449,1180,,,185.0,237.0,,5.0,2.0,False,90.0,10.0,False,Immediately,Brussels,Rue Verhulst,38.0,1.0,
vbe35403,4.4119972,50.8476552,Rent,850,Appartment,FlatStudio,27612,1200,1960.0,Excellent,,40.0,,0.0,1.0,False,30.0,35.0,False,,Brussels,Avenue de Juillet,94.0,,
vbe35347,4.373398,50.85407455,Rent,950,Appartment,Flat,27443,1210,,Fully renovated,,50.0,,1.0,1.0,False,,2.0,False,Immediately,Brussels,Place François Bossuet,5.0,,
vbe35402,4.4278114,50.8448895,Rent,1275,Appartment,Flat,27612,1200,1991.0,Excellent,,90.0,,2.0,1.0,True,,3.0,True,,Brussels,Rue Solleveld,65.0,,
vbe35309,4.34033,50.81116,Rent,2950,House,House,33267,1180,,Normal,,234.0,,5.0,1.0,,82.0,,,Immediately,Brussels,AVENUE COGHEN,88.0,1.0,
vbe35350,4.3539328,50.847205,Rent,850,Appartment,FlatStudio,39656,1000,2018.0,Normal,,46.0,16178.0,1.0,,True,,,True,,Brussels,Rue Marché aux Peaux,4.0,,
vbe35305,4.31097405,50.87227955,Rent,1100,Appartment,Flat,40310,1083,1950.0,,,75.0,,2.0,,False,,,False,Immediately,Brussels,Avenue du Cimetière,12.0,,
vbe35384,4.4329851,50.8381484,Rent,1450,Appartment,Flat,29033,1150,1958.0,Excellent,,120.0,26265.0,3.0,1.0,True,,,False,,Brussels,,,,
vbe35405,4.4462031,50.8406251,Rent,1200,Appartment,Flat,38398,1200,2021.0,Normal,,81.0,4.0,1.0,1.0,True,20.0,14.0,False,,Brussels,Chaussée de Stockel,202.0,,
vbe35304,4.33699234,50.87623575,Rent,1100,Appartment,Flat,40310,1090,1930.0,,,55.0,,1.0,1.0,False,,9.0,False,Immediately,Brussels,Rue Amélie Gomand,47.0,,
vbe35269,4.3333333,50.8,Rent,950,Appartment,Flat,39602,1180,,,,50.0,,1.0,,,,4.0,,From 15/09/2026,Brussels,,,,
vbe35236,4.3666132,50.8589789,Rent,2100,Appartment,GroundFloor,46535,1030,,Normal,,172.0,,3.0,3.0,,250.0,,False,,Brussels,Rue Dupont,80.0,,
vbe35216,4.4155297,50.8419941,Rent,1650,Appartment,Flat,27466,1200,1960.0,Excellent,,148.0,35183.0,4.0,1.0,True,,,False,,Brussels,Avenue de Broqueville,127.0,1.0,False
vbe35243,4.3355368,50.8036332,Rent,775,Appartment,FlatStudio,40061,1180,,Excellent,,38.0,5837.0,0.0,1.0,True,,,False,,Brussels,Rue Xavier De Bue,16.0,,
vbe35197,4.39515,50.80075,Rent,2600,Appartment,Flat,43065,1000,,New,,140.0,,3.0,2.0,True,,,True,Immediately,Brussels,AVENUE DE L'URUGUAY,22.0,,
vbe35255,4.3515499,50.8427501,Rent,1290,Appartment,Flat,40044,1000,,,,57.0,,1.0,1.0,True,,5.0,True,From 07/08/2026,Brussels,,,,
vbe35267,4.3739413,50.8310693,Rent,1700,Appartment,Duplex,47577,1050,1970.0,Normal,,120.0,,1.0,1.0,False,60.0,,True,,Brussels,Rue Maria Malibran,75.0,,
rbw20677,4.3333333,50.8,Rent,3200,House,House,48985,1180,1986.0,Excellent,,227.0,,4.0,,,,95.0,,Immediately,Brussels,,,1.0,
vbe35294,4.354975,50.82682,Rent,1450,Appartment,Flat,38513,1060,2018.0,,,80.0,,2.0,1.0,True,,10.0,False,From 01/08/2026,Brussels,Chaussée de Charleroi,144.0,,
vbe35268,4.3354803,50.868767,Rent,820,Appartment,FlatStudio,40213,1090,2018.0,Excellent,,38.0,,,1.0,False,,,False,From 04/06/2026,Brussels,Avenue Charles Woeste,306.0,,
vbe35202,4.3701944,50.8410489,Rent,1600,Appartment,Flat,46472,1000,,,,,,,,,,,True,From 15/06/2026,Brussels,Rue Montoyer Brussels,,,False
vbe35201,4.3828192,50.8269188,Rent,950,Appartment,Flat,46472,1050,,,,,,,,,,,True,From 01/07/2026,Brussels,Avenue de la Couronne Elsene,,,False
vbe35194,4.36695,50.82907,Rent,3000,Appartment,Flat,43065,1050,,Normal,,239.0,,3.0,2.0,,,,True,From 31/07/2026,Brussels,RUE DE L'ERMITAGE,50.0,,
vbe35292,4.38807811,50.80491235,Rent,2200,House,MasterHouse,27880,1050,1931.0,Normal,,280.0,,3.0,1.0,False,50.0,,False,Immediately,Brussels,Avenue du Derby,19.0,1.0,
vbe35196,4.39515,50.80075,Rent,3500,Appartment,Penthouse,43065,1000,,New,,148.0,,3.0,2.0,True,,,,Immediately,Brussels,AVENUE DE L'URUGUAY,22.0,,
vbe35258,4.423892,50.842365,Rent,1120,Appartment,Flat,40044,1200,,,,50.0,,1.0,1.0,False,,,True,From 18/06/2026,Brussels,,,,
vbe35295,4.408969,50.82046,Rent,1010,Appartment,Flat,39695,1160,1988.0,,,52.0,,1.0,1.0,True,,,False,,Brussels,Square Jean-Baptiste De Greef,2.0,,
vbe35195,4.34206,50.79457,Rent,10000,House,House,43065,1180,,New,,732.0,,7.0,4.0,True,,,True,Immediately,Brussels,DIEWEG,60.0,2.0,
vbe35247,4.3908051,50.8368051,Rent,795,Appartment,FlatStudio,40849,1040,1930.0,Normal,,20.0,27462.0,1.0,1.0,False,,,True,Immediately,Brussels,Rue Doyen Boone,15.0,,
vbe35198,4.3766927,50.8235717,Rent,4000,Appartment,Penthouse,43065,1050,,New,,180.0,,3.0,3.0,True,,,,From 30/06/2026,Brussels,,,,
vbe35050,4.4017226,50.8382388,Rent,2300,Appartment,Flat,43157,1040,1913.0,Normal,,119.0,,2.0,2.0,True,,4.0,True,Immediately,Brussels,Avenue de Tervueren,57.0,,
vwd17835,4.3605105,50.8701325,Rent,1300,Appartment,Flat,0,1000,1900.0,Fully renovated,,80.0,,3.0,1.0,,,,,,Brussels,Rue du pont de l'Avenue,1.0,,
vbe35001,4.3511034,50.8137691,Rent,1100,Appartment,Flat,40457,1180,1950.0,Fully renovated,,65.0,36510.0,1.0,1.0,False,,,False,Immediately,Brussels,Rue Vanderkindere,211.0,,
vwd17830,4.4171248,50.8153595,Rent,2050,Appartment,Duplex,0,1160,2026.0,Excellent,,135.0,,3.0,2.0,,,1.0,,,Brussels,"Chaussée de Watermael,",97.0,,
vbe35107,4.3062305,50.8328315,Rent,700,Appartment,Flat,46472,1070,,,,,,,,,,,True,From 12/09/2026,Brussels,Rue de Veeweyde Anderlecht,,,False
vbe35131,4.3904061,50.832397,Rent,2250,Appartment,Duplex,44778,1040,,,,130.0,,2.0,2.0,,160.0,50.0,,,Brussels,Rue des Erables,17.0,,
vbe35009,4.3283292,50.8514015,Rent,1990,Appartment,Loft,39656,1080,1912.0,Excellent,,150.0,,1.0,1.0,True,,30.0,False,Immediately,Brussels,Rue Jean-Baptiste Decock,5.0,,
vbe35049,4.4116408,50.8361801,Rent,1700,Appartment,Flat,43157,1150,,Excellent,,96.0,14777.0,1.0,1.0,True,,,True,,Brussels,Avenue de Tervueren,227.0,,
vbe35008,4.3719467,50.8186367,Rent,2250,Appartment,Penthouse,39656,1050,1894.0,Excellent,,157.0,49994.0,2.0,1.0,False,,19.0,False,,Brussels,Rue de l'Aurore,56.0,,
vbe35125,4.36911,50.8486,Rent,1349,Appartment,GroundFloor,46612,1000,,Fully renovated,,31.0,,1.0,,,,,True,,Brussels,Boulevard du Régent,55.0,,
vbe34984,4.388426,50.80451,Rent,1750,Appartment,Flat,43099,1050,1940.0,Normal,,120.0,,2.0,1.0,True,,3.0,False,,Brussels,Avenue du Derby,31.0,1.0,
vbe35119,4.346871,50.854176,Rent,1848,Appartment,GroundFloor,46612,1000,,Fully renovated,,71.0,,1.0,,,,,True,,Brussels,"Quai à la Houille,",10.0,,
rbw20331,4.3945221,50.8088294,Rent,1820,Appartment,Flat,49251,1050,,,,70.0,,,,,,,,,Brussels,Avenue du Bois de la Cambre Elsene,,,False
vbe34967,4.388949,50.832177,Rent,2750,Appartment,Duplex,33267,1040,,Excellent,,150.0,,3.0,1.0,,,,,From 31/08/2026,Brussels,,,1.0,
vbe34973,4.3828192,50.8269188,Rent,800,Appartment,Flat,46472,1050,,,,,,,,,,,True,From 16/06/2026,Brussels,Avenue de la Couronne Elsene,,,False
vbe35089,4.3820734,50.820187,Rent,700,Appartment,Flat,44778,1050,,,,22.0,,,1.0,,,,,,Brussels,Chaussée de Boondael,256.0,,
vbe35088,4.3514295,50.848248,Rent,1700,Appartment,Duplex,44778,1000,,,,110.0,,3.0,2.0,,,,,From 01/09/2026,Brussels,Rue de Tabora,9.0,,
vbe35191,4.298998,50.8734516,Rent,1250,Appartment,Flat,47625,1083,1973.0,Normal,,109.0,146.0,2.0,1.0,True,,,False,,Brussels,Avenue des Neuf Provinces,1.0,,
vbe35030,4.3988044,50.8453842,Rent,1800,Appartment,Flat,43157,1030,,Excellent,,80.0,19914.0,2.0,1.0,True,,,False,,Brussels,Rue Frédéric Pelletier,8.0,,
vbe35024,4.3333333,50.8,Rent,1450,Appartment,Flat,39482,1180,,,,80.0,,2.0,1.0,,,5.0,,From 15/09/2026,Brussels,,,1.0,
vbe34839,4.3878356,50.8074461,Rent,1400,Appartment,Flat,39290,1050,,,,122.0,,2.0,1.0,,,3.0,,From 01/08/2026,Brussels,Avenue du Pesage,116.0,,
vbe34903,4.3766927,50.8235717,Rent,875,Appartment,Flat,39482,1050,,,,50.0,,1.0,,,,,,From 01/09/2026,Brussels,,,,
vbe34958,4.3302288,50.7919395,Rent,1525,Appartment,Flat,44746,1180,2017.0,Excellent,,90.0,,2.0,1.0,True,,15.0,,,Brussels,avenue Ilya Prigogine,8.0,,
vbe34902,4.3766927,50.8235717,Rent,900,Appartment,Flat,39482,1050,,,,50.0,,1.0,,,,,,From 01/09/2026,Brussels,,,,
vbe34841,4.423892,50.842365,Rent,950,Appartment,Flat,29033,1200,2007.0,Excellent,,60.0,,1.0,1.0,True,,4.0,False,,Brussels,,,,
vbe34892,4.3475063,50.8540873,Rent,1650,Appartment,Loft,47576,1000,,Normal,,203.0,40706.0,,1.0,True,,,False,,Brussels,Cité du Sureau,7.0,,
vbe34838,4.3833316,50.8308289,Rent,1300,Appartment,Duplex,46622,1040,1901.0,Normal,,74.0,,2.0,1.0,False,,,True,,Brussels,Rue Philippe Baucq,98.0,,
vbe34959,4.3880585,50.8350172,Rent,850,Appartment,FlatStudio,44746,1040,,Excellent,,40.0,,,1.0,,,,True,,Brussels,AVENUE D'AUDERGHEM,200.0,,
vbe34913,4.33731394,50.88305762,Rent,1350,Appartment,Flat,27812,1090,,,,122.0,,3.0,1.0,True,,13.0,False,,Brussels,Rue Duysburgh,31.0,1.0,
vbe34966,4.4329851,50.8381484,Rent,1550,Appartment,Flat,33267,1150,1960.0,Normal,,90.0,,2.0,1.0,True,,,True,From 30/06/2026,Brussels,,,,True
rbw19702,4.3333333,50.8,Rent,10000,House,Villa,49237,1180,1885.0,Excellent,8200.0,600.0,,8.0,5.0,False,8200.0,,,Immediately,Brussels,,,,
vbe34901,4.3766927,50.8235717,Rent,1050,Appartment,Flat,39482,1050,,,,60.0,,2.0,,,,,,From 01/09/2026,Brussels,,,,
vbe34893,4.3261228,50.8212026,Rent,1650,Appartment,Flat,47575,1190,1980.0,Normal,,94.0,23825.0,2.0,1.0,True,200.0,,True,,Brussels,Avenue Van Volxem,241.0,,True
rbw20294,4.3766927,50.8235717,Rent,5600,House,House,48985,1050,1910.0,Excellent,,573.0,,6.0,4.0,,,,,Negotiable,Brussels,,,1.0,
vbe34808,4.3333333,50.8,Rent,1500,Appartment,Flat,39905,1180,1950.0,Normal,,104.0,10851.0,2.0,1.0,True,,16.0,False,Immediately,Brussels,,,1.0,
vwd17828,4.3028734,50.8473786,Rent,790,Appartment,Flat,0,1070,,Normal,,75.0,,1.0,1.0,,,,,,Brussels,Chaussée de Ninove,539.0,,
vbe34936,4.302565,50.8585203,Rent,1000,Appartment,Flat,44165,1082,,Normal,,59.0,,1.0,1.0,False,,,,,Brussels,Avenue du Haut-Champ,10.0,,
vbe34965,4.3333333,50.8,Rent,1550,Appartment,Flat,33267,1180,1960.0,Excellent,,87.0,,1.0,1.0,True,100.0,12.0,,From 31/07/2026,Brussels,,,,
vbe34849,4.4329851,50.8381484,Rent,3800,Appartment,Penthouse,43157,1150,2014.0,Excellent,,265.0,31486.0,3.0,2.0,True,,89.0,False,,Brussels,,,1.0,
vbe34920,4.3766927,50.8235717,Rent,1150,Appartment,Flat,40044,1050,,,,65.0,,1.0,1.0,False,,,True,From 15/06/2026,Brussels,,,,
vbe34689,4.3515499,50.8427501,Rent,1450,Appartment,Flat,40044,1000,,,,52.0,,1.0,1.0,True,,6.0,True,From 15/06/2026,Brussels,,,,
vbe34619,4.3515499,50.8427501,Rent,1450,Appartment,Flat,40044,1000,,,,50.0,,1.0,1.0,True,,,True,From 15/06/2026,Brussels,,,,
vbe34634,4.3333333,50.8,Rent,1250,Appartment,Flat,44115,1180,,Excellent,,79.0,,2.0,1.0,True,,,False,Immediately,Brussels,,,,
rbw19632,4.3766927,50.8235717,Rent,1500,Appartment,FlatStudio,42515,1050,,Normal,,35.0,,1.0,1.0,,,,True,,Brussels,,,,
vbe34771,4.3786298,50.8147119,Rent,2100,Appartment,Penthouse,39656,1050,1992.0,Excellent,,130.0,23261.0,2.0,2.0,True,,20.0,True,Immediately,Brussels,Avenue des Courses,22.0,1.0,
vbe34574,4.3912919,50.801904,Rent,2350,Appartment,Flat,27880,1050,,Normal,,77.0,,2.0,1.0,True,,6.0,True,From 01/07/2026,Brussels,Avenue de la Forêt,1.0,,
vbe34593,4.3333333,50.8,Rent,3400,House,House,39905,1180,1930.0,Excellent,2000.0,251.0,66855.0,4.0,2.0,False,85.0,,False,Immediately,Brussels,,,1.0,
vbe34616,4.37727,50.86744,Rent,2000,Appartment,Duplex,33267,1030,1930.0,Excellent,,141.0,,2.0,1.0,,,35.0,,From 31/08/2026,Brussels,,,,
rbw19634,4.3766927,50.8235717,Rent,1800,Appartment,Flat,42515,1050,,Normal,,42.0,,1.0,1.0,,,,True,,Brussels,,,,
rbw19633,4.3766927,50.8235717,Rent,1800,Appartment,Flat,42515,1050,,Normal,,62.0,,1.0,1.0,,,,True,,Brussels,,,,
vbe34633,4.3675565,50.8503294,Rent,1200,Appartment,Flat,27214,1000,1876.0,Excellent,,60.0,11926.0,1.0,1.0,True,,,True,,Brussels,Rue des Cultes,26.0,,
rbw19636,4.3766927,50.8235717,Rent,1800,Appartment,Flat,42515,1050,,Normal,,89.0,,2.0,1.0,,,,True,,Brussels,,,,
vbe34577,4.4329851,50.8381484,Rent,5800,House,Villa,43157,1150,2017.0,New,1009.0,388.0,38834.0,5.0,4.0,False,900.0,25.0,False,,Brussels,,,2.0,
vbe34644,4.3476239,50.8485198,Rent,795,Appartment,FlatStudio,39656,1000,1994.0,Normal,,25.0,12463.0,0.0,1.0,False,,,True,,Brussels,Rue du Pont de la Carpe,14.0,,
vbe34772,4.3859935,50.8134575,Rent,1800,Appartment,Flat,39656,1050,1956.0,New,,107.0,30901.0,3.0,2.0,True,,10.0,False,,Brussels,Avenue Armand Huysmans,49.0,10.0,
vbe34696,4.3406892,50.8305148,Rent,1150,Appartment,Flat,38566,1060,1886.0,Fully renovated,,88.0,24679.0,1.0,1.0,False,,,False,Immediately,Brussels,Rue Vanderschrick,70.0,,True
vbe34617,4.3515499,50.8427501,Rent,1350,Appartment,Flat,33267,1000,1960.0,Normal,,89.0,,2.0,,True,,,,Immediately,Brussels,,,,
rbw19635,4.3766927,50.8235717,Rent,1500,Appartment,FlatStudio,42515,1050,,Normal,,27.0,,1.0,1.0,,,,True,,Brussels,,,,
vbe34690,4.3515499,50.8427501,Rent,1450,Appartment,Flat,40044,1000,,,,55.0,,1.0,1.0,True,,5.0,True,From 20/08/2026,Brussels,,,,
vbe34592,4.3333333,50.8,Rent,4000,House,House,39905,1180,1930.0,Fully renovated,228.0,261.0,21593.0,5.0,3.0,False,100.0,15.0,False,,Brussels,,,2.0,
vbe34434,4.4047,50.83826,Rent,3750,House,House,33267,1040,1910.0,Excellent,170.0,337.0,,5.0,2.0,,,30.0,,From 31/07/2026,Brussels,AVENUE DE TERVUEREN,98.0,,
vbe34498,4.4004721,50.850743,Rent,1450,Appartment,Flat,47379,1030,1900.0,Excellent,,96.0,,2.0,1.0,True,,3.0,,,Brussels,Avenue de l'Opale,123.0,,
vbe34411,4.3907113,50.8542435,Rent,1050,Appartment,Flat,29094,1030,,,,,,1.0,1.0,,,,,,Brussels,Rue Auguste Lambiotte,119.0,,
vbe34443,4.3692915,50.8350429,Rent,1085,Appartment,Flat,46472,1050,,,,,,,,,,,True,From 01/09/2026,Brussels,Rue Georges Lorand Elsene,,,False
vbe34341,4.360631,50.8244491,Rent,1500,Appartment,Flat,40457,1050,,Normal,,70.0,,1.0,1.0,False,,,True,Immediately,Brussels,Place du Châtelain,35.0,,
vbe34413,4.3552562,50.8447928,Rent,1250,Appartment,Flat,40380,1000,,,,90.0,,1.0,1.0,True,,,,,Brussels,Rue de la Madeleine,57.0,,
vbe34549,4.330334,50.859029,Rent,1250,Appartment,Flat,40044,1081,,Normal,,79.0,,2.0,1.0,False,,,False,From 20/07/2026,Brussels,,,,
vbe34515,4.4273205,50.8110035,Rent,1150,Appartment,Flat,38398,1160,,Normal,,69.0,12.0,1.0,1.0,True,,,False,,Brussels,Boulevard du Souverain,146.0,,
