,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,land_surface,livable_surface,energy_consumption,number_of_bedrooms,number_of_bathrooms,elevator,garden,terrace,furnished,availability,province,street,street_number,garage,balcony
vbe36424,4.3836204,50.8536309,Rent,755,Appartment,FlatStudio,48204,1030,,Excellent,,32.0,14251.0,0.0,1.0,False,,,False,Immediately,Brussels,Rue Artan,108.0,,
vbe36426,4.37668792,50.68279705,Rent,850,Appartment,FlatStudio,42991,1050,2018.0,,,45.0,,,1.0,True,,,False,Immediately,Brussels,rue de la croix,6.0,,
vwd17877,4.4521378,50.8588065,Rent,950,Appartment,FlatStudio,0,1200,,Excellent,,39.0,,0.0,1.0,,,1.0,,,Brussels,Lennekemarelaan,34.0,,
vbe36388,4.3766927,50.8235717,Rent,1600,Appartment,Flat,40044,1050,,,,,,2.0,1.0,False,,,True,From 15/07/2026,Brussels,,,,
vbe36337,4.3899992,50.8305664,Rent,1490,Appartment,Penthouse,37194,1040,,New,,60.0,,1.0,1.0,False,,16.0,False,Immediately,Brussels,Armand Steurs,17.0,,
vbe36419,4.3253386,50.8151205,Rent,1500,Appartment,Flat,47577,1190,,New,,113.0,9.0,2.0,2.0,True,,,False,Immediately,Brussels,Avenue des Tropiques,24.0,,
vbe36298,4.4064806,50.8442379,Rent,1400,Appartment,Flat,27466,1200,,New,,77.0,11964.0,1.0,1.0,False,,,True,Immediately,Brussels,Avenue Marie-José,164.0,,
vbe36407,4.3129001,50.865772,Rent,750,Appartment,Flat,28427,1081,,,,50.0,,,1.0,,,3.0,,,Brussels,"Avenue de la Basilique,",371.0,,
vbe36341,4.3899992,50.8305664,Rent,1350,Appartment,Flat,37194,1040,,New,,80.0,,1.0,1.0,False,,4.0,False,Immediately,Brussels,Armand Steurs,17.0,,
vbe36241,4.4090177,50.837602,Rent,1450,Appartment,Flat,43157,1150,1948.0,Fully renovated,,166.0,179.0,2.0,2.0,True,,4.0,False,Immediately,Brussels,Avenue de Tervueren,148.0,1.0,
vbe36340,4.3772104,50.8535374,Rent,1350,Appartment,Flat,37194,1040,1932.0,Fully renovated,,80.0,,1.0,1.0,False,,3.0,False,Immediately,Brussels,Square Armand Steurs,17.0,,
vbe36344,4.3960218,50.8438739,Rent,1450,Appartment,Flat,27214,1030,1970.0,Excellent,,70.0,16528.0,2.0,1.0,False,,7.0,False,Immediately,Brussels,Rue du Noyer,342.0,,
vbe36323,4.3452691,50.8517903,Rent,1550,Appartment,Flat,38609,1000,1931.0,Normal,,104.0,13048.0,2.0,1.0,True,,,,Negotiable,Brussels,Rue Léon Lepage,19.0,,
vbe36277,4.3362741,50.7814658,Rent,3500,House,House,46120,1180,,Excellent,800.0,180.0,42.0,3.0,2.0,False,800.0,,True,,Brussels,Rue de la Cueillette,44.0,,
vbe36393,4.398463,50.85721,Rent,950,Appartment,Flat,46469,1030,1967.0,Normal,,36.0,,,1.0,True,,25.0,False,On contract,Brussels,Rue Paul Hymans,9.0,,
vbe36406,4.3333333,50.8,Rent,2650,Appartment,Flat,33267,1180,2017.0,Excellent,,134.0,,3.0,1.0,True,,,True,From 14/09/2026,Brussels,,,,
vbe36319,4.3591797,50.8501194,Rent,760,Appartment,FlatStudio,40389,1000,2000.0,Normal,,25.0,,0.0,,True,,,True,Immediately,Brussels,Rue Saint-Laurent,2.0,,
vbe36420,4.3253386,50.8151205,Rent,2500,Appartment,Flat,47577,1190,,New,,140.0,,3.0,2.0,True,,15.0,False,Immediately,Brussels,Avenue des Tropiques,24.0,,
vbe36418,4.3253386,50.8151205,Rent,1200,Appartment,Flat,47577,1190,,New,,66.0,21.0,1.0,1.0,True,,7.0,True,Immediately,Brussels,Avenue des Tropiques,24.0,,
vbe36402,4.38528,50.81446,Rent,1350,Appartment,Flat,43065,1050,,Normal,,100.0,,1.0,1.0,True,,,,Immediately,Brussels,AVENUE ARMAND HUYSMANS,34.0,,
vbe36339,4.3899992,50.8305664,Rent,1490,Appartment,Flat,37194,1040,,New,,70.0,,1.0,1.0,False,,,False,Immediately,Brussels,Armand Steurs,17.0,,
vbe36409,4.3766927,50.8235717,Rent,1600,Appartment,Flat,40044,1050,,,,,,2.0,1.0,False,,,True,From 01/08/2026,Brussels,,,,
vbe36136,4.3819028,50.8588958,Rent,990,Appartment,Flat,46472,1030,,,,,,,,,,,True,From 30/08/2026,Brussels,Avenue Général Eisenhower Schaarbeek,,,False
vbe36151,4.4113336,50.8239365,Rent,1900,House,MixedBuilding,46472,1150,,,80.0,,,,,,,,True,From 03/09/2026,Brussels,Avenue des Eperviers Sint-Pieters-Woluwe,,,False
vbe36215,4.3431374,50.8522335,Rent,1350,Appartment,Flat,46371,1000,,Normal,,75.0,,2.0,1.0,False,,,False,,Brussels,rue antoine dansaert,142.0,,
vbe36204,4.3121604,50.8686577,Rent,995,Appartment,Flat,46371,1083,,Normal,,80.0,,2.0,1.0,False,,,False,,Brussels,Avenue Charles-Quint,48.0,,
vbe36128,4.3593,50.82003,Rent,1200,Appartment,Flat,43065,1050,,Normal,,86.0,,1.0,1.0,,,,,From 31/08/2026,Brussels,AVENUE LOUIS LEPOUTRE Elsene,,,
vbe36138,4.2975122,50.8491177,Rent,895,Appartment,Flat,46472,1080,,,,,,,,,,,True,From 18/06/2026,Brussels,Rue du Menuet Sint-Jans-Molenbeek,,,False
rbw25395,4.3590349,50.8673668,Rent,1650,Appartment,Flat,49251,1000,,,,50.0,,,,,,,,,Brussels,Chaussée d'Anvers Brussels,,,False
vbe36213,4.3515499,50.8427501,Rent,900,Appartment,Flat,40102,1000,,,,70.0,,1.0,,,,,,From 01/09/2026,Brussels,,,,
vbe36193,4.3675105,50.8448575,Rent,2900,Appartment,Flat,27214,1000,1956.0,Excellent,,260.0,57020.0,3.0,3.0,True,,3.0,False,,Brussels,Boulevard du Régent,29.0,1.0,
vbe36214,4.3766927,50.8235717,Rent,850,Appartment,Flat,40102,1050,,,,40.0,,1.0,,,,,,,Brussels,,,,
vbe36199,4.3287442,50.874201,Rent,1200,Appartment,Flat,39656,1090,1900.0,New,,76.0,16895.0,1.0,1.0,False,,30.0,False,Immediately,Brussels,Rue Paul Michiels,45.0,,
vbe36173,4.3766927,50.8235717,Rent,2100,Appartment,Flat,38329,1050,,Normal,,200.0,,3.0,1.0,False,,15.0,True,From 16/08/2026,Brussels,,,,
vbe36183,4.3333333,50.8,Rent,1400,Appartment,Flat,39905,1180,1952.0,Excellent,,97.0,13990.0,1.0,1.0,True,,,False,,Brussels,,,,
vbe36143,4.3952354,50.8294202,Rent,1150,Appartment,Flat,46472,1040,,,,,,,,,,,True,From 14/09/2026,Brussels,Rue Général Fivé Etterbeek,,,False
vbe36182,4.3943399,50.8428198,Rent,5995,House,House,43761,1000,1896.0,Excellent,,467.0,,7.0,4.0,False,50.0,15.0,False,,Brussels,Avenue de la Renaissance,46.0,1.0,
vbe36135,4.38263,50.83382,Rent,700,Appartment,Flat,46472,1040,,,,,,1.0,,,,,True,From 15/09/2026,Brussels,Rue de l'Orient Etterbeek,,,False
vbe36217,4.4031428,50.8102354,Rent,1200,Appartment,Flat,46605,1170,,Excellent,,97.0,,2.0,1.0,True,,20.0,False,,Brussels,Avenue de la Sauvagine,1.0,,
vbe36174,4.3766927,50.8235717,Rent,1500,Appartment,Flat,38329,1050,,Normal,,65.0,,2.0,,False,,4.0,True,From 04/08/2026,Brussels,,,,
rbw25338,4.414715,50.800919,Rent,1850,House,House,48985,1170,1958.0,Normal,,162.0,,3.0,1.0,,,,,Immediately,Brussels,,,,
rbw25339,4.3766927,50.8235717,Rent,4250,House,House,48985,1050,1920.0,Excellent,100.0,347.0,,4.0,,,80.0,,,From 05/07/2026,Brussels,,,,
