longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,province,street,house_number,date_of_construction,availability,energy_consumption,balcony,land_surface,garden,number_of_garage,swimming_pool
4.0418874,50.6947227,Sale,225000,House,Cottage,46440,7850,To be renovated,122,3,1,False,,False,Hainaut,,,1865,On contract,51991,False,2833,180,1,
4.31877614,50.4659048,Sale,149000,House,House,28942,6183,To be renovated,160,3,1,False,,False,Hainaut,de chapelle,150,,,,,927,,,
4.1914321,50.4751358,Sale,125000,House,House,44003,7100,To be renovated,159,3,1,False,,False,Hainaut,Rue du Parc,8,,On contract,89882,False,90,,,
4.3859076,50.4416806,Sale,299000,House,House,40796,6044,Excellent,130,3,1,False,40,False,Hainaut,Rue Courcelles,10,,,46069,,450,450,,
4.1086281,50.5027896,Sale,419000,House,House,28942,7070,Normal,200,5,1,False,,False,Hainaut,Rue Grande,124,1975,,,,2000,,3,
4.2263205,50.4803787,Sale,165000,House,House,42857,7170,Normal,98,2,1,False,,False,Hainaut,Avenue Emile Herman,368,,,36325,,240,,,True
4.31079171,50.4859216,Sale,369000,House,House,28942,6181,Normal,185,4,1,False,,False,Hainaut,Rue de Jeumont,10,,,,,600,,1,
4.4096578,50.4450814,Sale,105000,House,House,39279,6040,To be renovated,119,2,1,,,,Hainaut,Place Jules Francq,20,,,48781,,123,,,
4.18733,50.47441,Sale,180000,House,House,48561,7100,Normal,134,3,1,False,,False,Hainaut,Rue de Belle-Vue,7,,Immediately,,False,,,,
4.3562286,50.4435386,Sale,125000,House,MixedBuilding,39714,6182,,65,2,,,,,Hainaut,Rue Emile Vandervelde,128,,,22670,,197,,,
4.1892216,50.469385,Sale,145000,Appartment,Flat,39438,7100,,70,1,,True,,True,Hainaut,,,,,,,,,,
4.47229297,50.4542639,Sale,199000,House,House,28942,6043,Normal,168,2,1,False,,False,Hainaut,Rue Masses Diarbois,8,,,,,258,,,
4.32842013,50.41311865,Sale,585000,Appartment,Loft,33575,6140,Normal,300,5,1,False,60,False,Hainaut,RUE DE LA STATION,32,,Immediately,,,,,,
4.3809937,50.4608131,Sale,295000,House,MixedBuilding,40166,6180,Normal,283,3,2,False,,,Hainaut,Rue Winston Churchill,13,,On contract,80603,,260,,,
4.42567701,50.47836209,Sale,325000,House,House,48551,6041,Normal,160,3,2,False,,False,Hainaut,Baty de Mélonsart,25,,On contract,,,1342,1000,1,
4.27573961,50.35032145,Sale,399000,House,House,28942,6530,Normal,185,4,1,False,,False,Hainaut,Rue du Laid Pas,11,,,,,5000,,1,
3.4230074,50.5137819,Sale,229000,House,MasterHouse,28892,6560,,245,5,2,False,,False,Hainaut,Rue Henri Fournier,90,,On contract,,,728,,1,
4.3182237,50.1691017,Sale,50000,House,Bungalow,27592,6440,,,2,1,False,,True,Hainaut,Parc Résidentiel Le Bosquet,182,,On contract,,,240,,1,
4.4795659,50.4239504,Sale,138000,House,House,40288,6061,Normal,113,2,1,False,,False,Hainaut,Rue du Major,23,,,35836,,114,,1,False
4.4777803,50.4018544,Sale,110000,Appartment,Flat,27448,6061,,76,2,,,5,,Hainaut,,,,,,,,,,
4.35922464,50.43953025,Sale,179000,House,House,27592,6180,Normal,133,2,1,False,,False,Hainaut,Rue de Sart-lez-Moulins,91,1920,On contract,,,,,,
